case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,avg_true_dominance_generation_bucket_k3,avg_new_dominance_generation_bucket_k3,avg_dominance_diff_generation_bucket_k3,avg_conflict_pos_bucket_k3
1734,encyclopaedia,Luigi Snozzi,Q117448,Singapore,Switzerland,0.76,0.0,-0.76,P27,4,0.0,1,3,1,1
1780,encyclopaedia,Cardiff City Ladies F.C.,Q372196,Hayward,Cardiff,0.0,0.0,0.0,P159,35,,1,1,3,
1803,encyclopaedia,TU Wien,Q689400,Birmingham,Vienna,0.4556,0.3889,-0.0667,P159,76,0.0,3,2,2,1
1815,encyclopaedia,Honinbo Shuei,Q5896202,Syria,Japan,0.3111,0.2,-0.1111,P27,0,0.0,2,2,2,1
1819,encyclopaedia,Mount Stephenson,Q6923858,Europe,Antarctica,0.6,0.2476,-0.3524,P30,7,0.013252,2,3,2,2
1877,encyclopaedia,"Kapuso Mo, Jessica Soho",Q12965797,Australia,Philippines,0.5,0.0,-0.5,P495,53,0.0,1,2,2,1
2210,encyclopaedia,Pavol Demitra,Q363628,Belgium,Slovakia,0.8533,0.0,-0.8533,P27,105,0.0,1,3,1,1
2302,encyclopaedia,Campania,Q1438,Brussels,Naples,0.3333,0.4,0.0667,P36,1194,0.0,3,2,3,1
2349,encyclopaedia,Pablo Honey,Q221241,Hindi,English,0.3111,0.0889,-0.2222,P364,558,0.000411,1,2,2,1
2352,encyclopaedia,Van der Valk,Q101439927,French,English,0.0,0.2,0.2,P364,0,0.0,2,1,3,1
2481,encyclopaedia,Mauro Zani,Q714290,French,Italian,0.4556,0.1889,-0.2667,P1412,0,0.00317,2,2,2,1
2587,encyclopaedia,Jeanne Lamon,Q539291,piano,violin,0.85,0.0,-0.85,P1303,7,0.0,1,3,1,1
2674,encyclopaedia,Seattle International Film Festival,Q2399132,Sheffield,Seattle,0.219,0.3619,0.1429,P276,48,0.0,3,1,3,1
2824,encyclopaedia,"Braddock, Cornwall",Q4954451,Queensland,Cornwall,0.2933,0.4,0.1067,P131,2,0.008027,3,1,3,2
2857,encyclopaedia,Google Now,Q79564,Microsoft,Google,0.0987,0.6373,0.5387,P178,73,0.003087,3,1,3,1
2878,encyclopaedia,Sony Alpha 99,Q402211,Triumph,Sony,0.2815,0.1333,-0.1481,P176,21,0.000405,2,1,2,1
2932,encyclopaedia,Moi International Sports Centre,Q1385710,Israel,Kenya,0.4222,0.0333,-0.3889,P17,101,0.0,1,2,2,1
3102,encyclopaedia,Dospat Municipality,Q2715784,Philippines,Bulgaria,0.6167,0.0833,-0.5333,P17,1,0.000817,1,3,1,1
3161,encyclopaedia,Nintendo Software Planning & Development,Q2054310,London,Kyoto,0.4667,0.0222,-0.4444,P159,52,0.0,1,2,2,1
3193,encyclopaedia,Johnny Unitas,Q716029,midfielder,quarterback,0.1667,0.3,0.1333,P413,1047,0.0,2,1,3,1
3288,encyclopaedia,RioCan Real Estate Investment Trust,Q13529475,London,Toronto,0.6533,0.0,-0.6533,P159,17,0.0,1,3,1,1
3333,encyclopaedia,Mario Monti,Q47904,Japan,Italy,0.375,0.2333,-0.1417,P27,186,0.000221,2,2,2,1
3451,encyclopaedia,VASKhNIL,Q472795,Spanish,Russian,0.2889,0.1222,-0.1667,P37,7,0.000322,1,1,2,1
3485,encyclopaedia,Heartbreak High,Q122314218,Norway,Australia,0.5778,0.0,-0.5778,P495,0,0.0,1,2,1,1
3522,encyclopaedia,MacApp,Q6721707,Microsoft,Apple,0.7,0.1556,-0.5444,P178,12,0.00061,2,3,1,1
3544,encyclopaedia,Wolfgang Sawallisch,Q61205,guitar,piano,0.56,0.08,-0.48,P1303,20,0.000993,1,2,2,1
3559,encyclopaedia,Peter Arnett,Q142025,actor,journalist,0.5429,0.0,-0.5429,P106,108,0.0,1,2,1,1
3641,encyclopaedia,David Wagoner,Q5240765,actor,poet,0.3778,0.0,-0.3778,P106,13,0.0,1,2,2,1
3718,encyclopaedia,Windows Vista,Q11230,Apple,Microsoft,0.2933,0.3667,0.0733,P178,1281,1.3e-05,3,1,3,1
3764,encyclopaedia,Arun Krushnaji Kamble,Q3630679,Islam,Buddhism,0.8,0.0167,-0.7833,P140,5,0.000526,1,3,1,1
3841,encyclopaedia,CPP Investment Board,Q5013693,Oslo,Toronto,0.6889,0.0,-0.6889,P159,183,0.0,1,3,1,1
3863,encyclopaedia,The Exploited,Q117684,Olympia,Edinburgh,0.5467,0.0,-0.5467,P740,324,0.0,1,2,1,1
4004,encyclopaedia,Max Jacob,Q156214,German,French,0.6667,0.0,-0.6667,P103,65,5.1e-05,1,3,1,1
4056,encyclopaedia,Shmuel Ashkenasi,Q321539,guitar,violin,0.8444,0.0,-0.8444,P1303,6,0.00332,1,3,1,1
4102,encyclopaedia,Sacramento Convention Center Complex,Q574140,Queensland,California,0.1333,0.0,-0.1333,P131,11,0.0,1,1,2,1
4134,encyclopaedia,Pesisir Selatan,Q6065,Hungary,Indonesia,0.5333,0.2133,-0.32,P17,9,2.6e-05,2,2,2,1
4229,encyclopaedia,Ludovico Einaudi,Q83182,trumpet,piano,0.5333,0.0333,-0.5,P1303,1069,0.0,1,2,2,1
4377,encyclopaedia,Joanne Malar,Q3808571,Israel,Canada,0.2039,0.2588,0.0549,P27,9,0.021554,2,1,3,2
4385,encyclopaedia,Afghan Transitional Administration,Q4689103,Honolulu,Kabul,0.25,0.4,0.15,P36,241,0.0,3,1,3,1
4528,encyclopaedia,Helsinki City Transport,Q1433158,WWE,Helsinki,0.2833,0.15,-0.1333,P127,4,0.001286,2,1,2,1
4649,encyclopaedia,Spendrups,Q3335289,Dallas,Sweden,0.5067,0.0267,-0.48,P159,18,0.0,1,2,2,1
4727,encyclopaedia,Balochistan,Q163239,Europe,Asia,0.3212,0.3152,-0.0061,P30,1268,0.004384,2,2,3,1
4737,encyclopaedia,Dakor,Q912576,Manitoba,Gujarat,0.5333,0.0,-0.5333,P131,0,0.0,1,2,1,1
4812,encyclopaedia,Vantaa,Q127623,Antarctica,Europe,0.1095,0.481,0.3714,P30,164,0.000458,3,1,3,1
4949,encyclopaedia,Piove di Sacco,Q34317,Mexico,Italy,0.4857,0.1714,-0.3143,P17,5,0.001885,2,2,2,1
4972,encyclopaedia,High Level Shader Language,Q559519,IBM,Microsoft,0.7,0.0,-0.7,P178,74,0.0,1,3,1,1
5043,encyclopaedia,Sonic Underground,Q1535979,Japan,France,0.5333,0.0533,-0.48,P495,288,0.002238,1,2,2,1
5184,encyclopaedia,Ljig,Q1252490,Ukraine,Serbia,0.7333,0.04,-0.6933,P17,0,0.001217,1,3,1,1
5210,encyclopaedia,Rififi,Q1856418,India,France,0.4667,0.0933,-0.3733,P495,279,0.0,1,2,2,1
5269,encyclopaedia,Abraham Blooteling,Q329791,Paris,Amsterdam,0.9778,0.0,-0.9778,P937,2,0.0,1,3,1,1
5305,encyclopaedia,TNK-BP,Q2298901,Montreal,Moscow,0.8222,0.0,-0.8222,P159,46,0.0,1,3,1,1
5331,encyclopaedia,Andreas Embirikos,Q497035,lawyer,poet,0.5778,0.0,-0.5778,P106,11,0.0,1,2,1,1
5359,encyclopaedia,"Hope and Anchor, Islington",Q15225054,Moscow,London,0.27,0.4067,0.1367,P276,26,0.001555,3,1,3,1
5440,encyclopaedia,Southampton Castle,Q7569104,Alberta,Southampton,0.35,0.2333,-0.1167,P131,13,0.0,2,2,2,1
5528,encyclopaedia,Mahmud al-Hasan,Q6734522,Buddhism,Islam,0.75,0.1333,-0.6167,P140,1,0.005777,2,3,1,1
5596,encyclopaedia,Sesamstraat,Q2410485,Swedish,Dutch,0.6267,0.16,-0.4667,P407,24,0.0,2,3,2,1
5914,encyclopaedia,Schytt Glacier,Q3372454,Europe,Antarctica,0.525,0.2083,-0.3167,P30,0,0.008821,2,2,2,2
5973,encyclopaedia,Contell Glacier,Q5164934,Africa,Antarctica,0.64,0.1067,-0.5333,P30,0,0.008192,1,3,1,2
6050,encyclopaedia,Bernardo Reyes,Q2159676,Denmark,Mexico,0.5933,0.0467,-0.5467,P27,36,0.0,1,2,1,1
6052,encyclopaedia,Alfred L. Kroeber,Q311538,philosophy,anthropology,0.5444,0.1111,-0.4333,P101,121,0.0,1,2,2,1
6058,encyclopaedia,Far East Organization,Q4676212,Chicago,Singapore,0.5467,0.0133,-0.5333,P159,52,0.000149,1,2,1,1
6142,encyclopaedia,Nelida Lobato,Q6989976,England,Argentina,0.85,0.0,-0.85,P27,5,0.0,1,3,1,1
6144,encyclopaedia,Cunter,Q22549332,Guatemala,Switzerland,0.7333,0.0,-0.7333,P17,5,0.0,1,3,1,1
6212,encyclopaedia,Christiane Taubira,Q268675,Spanish,French,0.7,0.0,-0.7,P103,48,0.0,1,3,1,1
6226,encyclopaedia,Outlook.com,Q219136,Mobile,Microsoft,0.1667,0.4083,0.2417,P127,1989,0.000288,3,1,3,1
6268,encyclopaedia,Cadillac V-16,Q1025261,Nintendo,Cadillac,0.25,0.3111,0.0611,P176,153,0.000245,2,1,3,1
6299,encyclopaedia,2020 Summer Olympics,Q181278,England,Tokyo,0.163,0.3481,0.1852,P276,1318,0.000219,2,1,3,1
6387,encyclopaedia,Brut y Tywysogion,Q2357256,Thai,Welsh,0.28,0.3333,0.0533,P407,11,0.000308,2,1,3,1
6486,encyclopaedia,Charles Louis Alphonse Laveran,Q189006,Hamburg,Paris,0.6,0.0,-0.6,P20,24,0.0,1,3,1,1
6504,encyclopaedia,Cold Case,Q733960,MTV,CBS,0.3778,0.0889,-0.2889,P449,1073,0.0,1,2,2,1
6555,encyclopaedia,Apple Bandai Pippin,Q621312,Yahoo,Apple,0.3238,0.2667,-0.0571,P178,37,0.000842,2,2,2,1
6652,encyclopaedia,Jake Rudock,Q19665946,midfielder,quarterback,0.6111,0.0,-0.6111,P413,48,0.0,1,3,1,1
6656,encyclopaedia,Road Rules,Q3074,NBC,MTV,0.4833,0.3333,-0.15,P449,17,0.000336,2,2,2,1
6657,encyclopaedia,Napoleon III,Q7721,Hamburg,Paris,0.2667,0.0,-0.2667,P937,11731,0.0,1,1,2,1
6683,encyclopaedia,The New Normal,Q498265,MTV,NBC,0.3667,0.1,-0.2667,P449,200,0.000702,1,2,2,1
6940,encyclopaedia,Ahmad Zahir,Q195522,Wellington,Kabul,0.6833,0.0,-0.6833,P19,110,0.0,1,3,1,1
6961,encyclopaedia,rutile,Q193521,Cuba,red,0.9333,0.0,-0.9333,P138,465,0.0,1,3,1,1
7008,encyclopaedia,TorqueFlite,Q7826788,Nintendo,Chrysler,0.1333,0.3833,0.25,P176,176,0.0,3,1,3,1
7095,encyclopaedia,Porsche 911 GT3,Q219357,Apple,Porsche,0.125,0.4333,0.3083,P176,2113,9.3e-05,3,1,3,1
7242,encyclopaedia,Nikolai Myaskovsky,Q312778,English,Russian,0.5889,0.0111,-0.5778,P1412,51,0.001339,1,2,1,1
7319,encyclopaedia,Sextus Pompeius Festus,Q302723,Russian,Latin,0.4333,0.1833,-0.25,P1412,23,0.0,2,2,2,1
7354,encyclopaedia,Sean Salisbury,Q100919367,guard,quarterback,0.68,0.0,-0.68,P413,0,0.0,1,3,1,1
7413,encyclopaedia,All Hail King Julien,Q18636697,NBC,Netflix,0.3238,0.1905,-0.1333,P449,251,0.004491,2,2,2,1
7495,encyclopaedia,Venus Glacier,Q7920592,Europe,Antarctica,0.4667,0.2083,-0.2583,P30,1,0.009764,2,2,2,2
7663,encyclopaedia,Sergey Lavrov,Q58217,French,Russian,0.5444,0.2333,-0.3111,P103,971,0.001159,2,2,2,1
7723,encyclopaedia,Earl King,Q931607,fantasy,blues,0.6667,0.0,-0.6667,P136,30,0.0,1,3,1,1
7728,encyclopaedia,Paris Commune,Q133132,English,French,0.2519,0.237,-0.0148,P37,1352,0.000142,2,1,3,1
7735,encyclopaedia,Nokia 1100,Q498806,Dodge,Nokia,0.1267,0.2867,0.16,P176,276,0.0,2,1,3,1
7877,encyclopaedia,Lennart Geijer,Q2130664,Ukrainian,Swedish,0.32,0.1067,-0.2133,P1412,8,0.0,1,2,2,1
7956,encyclopaedia,Adobe Digital Editions,Q144858,Intel,Adobe,0.4,0.2,-0.2,P178,49,0.0,2,2,2,1
8021,encyclopaedia,Split Airport,Q1125392,Sweden,Split,0.2727,0.3273,0.0545,P138,133,0.0,2,1,3,1
8085,encyclopaedia,Theni district,Q15196,Germany,India,0.5,0.1,-0.4,P17,82,0.0,1,2,2,1
8102,encyclopaedia,Santa Maria della Salute,Q52531,Florence,Venice,0.5778,0.1556,-0.4222,P276,156,0.00282,2,2,2,1
8238,encyclopaedia,Pietro Fanna,Q2274998,goaltender,midfielder,0.44,0.0,-0.44,P413,9,0.0,1,2,2,1
8353,encyclopaedia,Anna Neagle,Q433044,journalist,actor,0.4667,0.0167,-0.45,P106,321,5.1e-05,1,2,2,1
8395,encyclopaedia,James Laurinaitis,Q339711,quarterback,linebacker,0.4,0.2533,-0.1467,P413,277,0.0,2,2,2,1
8460,encyclopaedia,Ruovesi,Q510636,Catalan,Finnish,0.5833,0.0,-0.5833,P37,11,7.3e-05,1,2,1,1
8521,encyclopaedia,Haakon Lie,Q980028,Paris,Oslo,0.8667,0.0,-0.8667,P20,6,0.0,1,3,1,1
8541,encyclopaedia,Togo,Q945,Finnish,French,0.3222,0.1778,-0.1444,P37,1507,0.0,2,2,2,1
8620,encyclopaedia,John Bernard Riley,Q916982,opera,jazz,0.8333,0.0,-0.8333,P136,16,0.0,1,3,1,1
9062,encyclopaedia,Dominique Bouhours,Q1238179,Russian,French,0.3222,0.1111,-0.2111,P103,4,0.0,1,2,2,1
9075,encyclopaedia,60 Minutes II,Q4641678,PBS,CBS,0.6444,0.2889,-0.3556,P449,27,0.0,2,3,2,1
9079,encyclopaedia,Daisaku Ikeda,Q467395,Islam,Buddhism,0.0784,0.4392,0.3608,P140,183,0.000618,3,1,3,1
9294,encyclopaedia,Christmas Island,Q106080035,Toyota,Christmas,0.1067,0.5167,0.41,P138,0,0.002482,3,1,3,1
9407,encyclopaedia,Alexei Kovalev,Q102282367,basketball,hockey,0.6,0.15,-0.45,P641,0,0.0,2,3,2,1
9487,encyclopaedia,CBS Summer Playhouse,Q860038,MTV,CBS,0.2667,0.1467,-0.12,P449,26,0.000695,2,1,2,1
9510,encyclopaedia,Ennin,Q732282,Islam,Buddhism,0.4667,0.4267,-0.04,P140,25,0.00412,3,2,3,1
9539,encyclopaedia,Twm o'r Nant,Q1767904,Dutch,Welsh,0.3143,0.1333,-0.181,P103,3,0.000878,2,2,2,1
9670,encyclopaedia,Salman the Persian,Q557378,Christianity,Islam,0.4833,0.25,-0.2333,P140,368,0.000173,2,2,2,1
9772,encyclopaedia,Shabbona,Q2254872,Dallas,Morris,0.6667,0.0,-0.6667,P20,5,0.0,1,3,1,1
9790,encyclopaedia,Bermuda,Q23635,Swedish,English,0.2074,0.3704,0.163,P37,3182,0.00185,3,1,3,1
9832,encyclopaedia,Axel Witsel,Q151838,quarterback,midfielder,0.0625,0.425,0.3625,P413,1168,0.0,3,1,3,1
9915,encyclopaedia,Copenhagen Airport,Q206277,Mars,Copenhagen,0.3333,0.4556,0.1222,P138,464,0.0,3,2,3,1
9930,encyclopaedia,Kasey Keller,Q356814,football,soccer,0.8,0.8,0.0,P641,145,0.074884,3,3,3,3
10038,encyclopaedia,Alfred Capus,Q198621,Russian,French,0.5867,0.0,-0.5867,P103,2,0.0,1,2,1,1
10040,encyclopaedia,Cognos,Q1107048,WWE,IBM,0.1333,0.363,0.2296,P127,41,0.000154,3,1,3,1
10052,encyclopaedia,Nissan Prairie,Q669213,IBM,Nissan,0.125,0.375,0.25,P176,67,0.000361,3,1,3,1
10180,encyclopaedia,Open Packaging Conventions,Q3353182,Google,Microsoft,0.4296,0.0148,-0.4148,P178,19,0.000419,1,2,2,1
10223,encyclopaedia,Cogeco,Q7887664,Seattle,Montreal,0.8333,0.0,-0.8333,P159,63,0.0,1,3,1,1
10231,encyclopaedia,Polina Gagarina,Q4131386,politician,actor,0.4667,0.0167,-0.45,P106,99,0.000252,1,2,2,1
10319,encyclopaedia,The Michael Richards Show,Q7751238,BBC,NBC,0.6667,0.2444,-0.4222,P449,142,0.0,2,3,2,1
10326,encyclopaedia,Windows 8.1,Q3569290,Apple,Microsoft,0.6667,0.0,-0.6667,P178,818,0.000656,1,3,1,1
10343,encyclopaedia,Southwest Philadelphia,Q7571337,Greenland,Philadelphia,0.3,0.25,-0.05,P131,28,0.0,2,1,3,1
10365,encyclopaedia,Thomas McCollum,Q89517481,midfielder,goaltender,0.475,0.0667,-0.4083,P413,0,0.0,1,2,2,1
10376,encyclopaedia,Leo X,Q43922,patriarch,pope,0.2167,0.0667,-0.15,P39,1106,0.0,1,1,2,1
10440,encyclopaedia,Tecla Scarano,Q3982413,Hebrew,Italian,0.5667,0.0833,-0.4833,P1412,2,0.000179,1,2,2,1
10509,encyclopaedia,City of Birmingham Symphony Orchestra,Q706774,carbon,Birmingham,0.12,0.4933,0.3733,P138,28,0.000136,3,1,3,1
10747,encyclopaedia,Jerzy Zawieyski,Q2510207,London,Warsaw,0.9556,0.0,-0.9556,P20,4,0.0,1,3,1,1
10775,encyclopaedia,Elis Regina,Q465877,France,Brazil,0.9467,0.0,-0.9467,P27,141,6.4e-05,1,3,1,1
10845,encyclopaedia,Antoine Augustin Calmet,Q767668,Russian,French,0.2571,0.1524,-0.1048,P103,47,0.0,2,1,2,1
10881,encyclopaedia,Logic Studio,Q1142467,Google,Apple,0.6593,0.0741,-0.5852,P178,17,0.001336,1,3,1,1
11168,encyclopaedia,A229 road,Q4649026,Jerusalem,Kent,0.3778,0.0,-0.3778,P131,10,0.0,1,2,2,1
11187,encyclopaedia,Brett Favre,Q267088,hockey,football,0.1667,0.7,0.5333,P641,3116,0.0,3,1,3,1
11382,encyclopaedia,Gary Scelzi,Q5525887,Chicago,Fresno,0.7867,0.0,-0.7867,P19,14,0.0,1,3,1,1
11509,encyclopaedia,Hagia Sophia,Q12506,Berlin,Istanbul,0.4857,0.1905,-0.2952,P276,3468,0.000111,2,2,2,1
11678,encyclopaedia,The Bold Ones,Q7719042,History,NBC,0.1556,0.0,-0.1556,P449,21,0.0,1,1,2,1
11722,encyclopaedia,Lannemezan,Q383402,Greece,France,0.425,0.0917,-0.3333,P17,30,0.000183,1,2,2,1
11929,encyclopaedia,Davao Region,Q13694,Boston,Philippines,0.2571,0.2667,0.0095,P131,202,0.0,2,1,3,1
11976,encyclopaedia,Gluecifer,Q1248223,Leeds,Oslo,0.8,0.0,-0.8,P740,25,0.0,1,3,1,1
11977,encyclopaedia,Jon Larsen,Q112485126,opera,jazz,0.6222,0.0,-0.6222,P136,0,0.0,1,3,1,1
12194,encyclopaedia,Renault Fluence,Q1050584,BMW,Renault,0.28,0.3933,0.1133,P176,111,0.001333,3,1,3,1
12238,encyclopaedia,Toyota Coaster,Q581385,Microsoft,Toyota,0.1111,0.4815,0.3704,P176,233,0.0,3,1,3,1
12472,encyclopaedia,Eleanor Oldroyd,Q5354350,Apple,BBC,0.6833,0.0,-0.6833,P108,16,7.3e-05,1,3,1,1
12594,encyclopaedia,Stephen Hough,Q1243635,trumpet,piano,0.3889,0.0889,-0.3,P1303,70,0.000473,1,2,2,1
12597,encyclopaedia,Nauka i Zhizn,Q4314276,Chinese,Russian,0.4583,0.3417,-0.1167,P407,3,0.006733,2,2,2,2
12646,encyclopaedia,Columbia Daily Tribune,Q5149683,Glasgow,Columbia,0.3333,0.3222,-0.0111,P159,6,0.0,2,2,3,1
12671,encyclopaedia,The Sleeping Car Murders,Q593767,Tamil,French,0.0,0.0,0.0,P364,32,,1,1,3,
12736,encyclopaedia,Canberra International Film Festival,Q5031263,Baltimore,Canberra,0.1333,0.2933,0.16,P276,2,0.0,2,1,3,1
12837,encyclopaedia,University of Strathclyde,Q1859178,Houston,Glasgow,0.1852,0.5259,0.3407,P159,204,0.0,3,1,3,1
12851,encyclopaedia,Willie Stargell,Q1054942,soccer,baseball,0.32,0.1067,-0.2133,P641,409,0.0,1,2,2,1
12923,encyclopaedia,Big Daddy Weave,Q4905546,Manchester,Mobile,0.6667,0.0,-0.6667,P740,137,0.0,1,3,1,1
13044,encyclopaedia,Juan J. Campanella,Q726925,Russian,Spanish,0.3467,0.1333,-0.2133,P1412,33,0.000283,2,2,2,1
13070,encyclopaedia,Battle of Olszynka Grochowska,Q1576383,Jerusalem,Warsaw,0.1095,0.4857,0.3762,P276,57,0.0,3,1,3,1
13101,encyclopaedia,The Godfather,Q60875410,Swedish,English,0.3067,0.1067,-0.2,P364,0,0.004673,1,1,2,1
13199,encyclopaedia,Donetsk Oblast,Q2012050,English,Ukrainian,0.6,0.0,-0.6,P37,1724,4.7e-05,1,3,1,1
13215,encyclopaedia,Julien Augustin Joseph Mermet,Q3189346,Baltimore,Paris,0.6167,0.0,-0.6167,P20,4,0.0,1,3,1,1
13245,encyclopaedia,John Brack,Q117680,Rome,Melbourne,0.8444,0.0,-0.8444,P20,15,0.0,1,3,1,1
13328,encyclopaedia,Park Seo-joon,Q5116234,London,Seoul,0.5778,0.0111,-0.5667,P19,1263,0.0,1,2,1,1
13359,encyclopaedia,Frankie Knuckles,Q205322,Oslo,Chicago,0.8222,0.0,-0.8222,P20,266,0.0,1,3,1,1
13419,encyclopaedia,CTV Television Network,Q767221,London,Toronto,0.72,0.0,-0.72,P159,352,0.0,1,3,1,1
13494,encyclopaedia,Tales of Wells Fargo,Q3980406,PBS,NBC,0.4933,0.0133,-0.48,P449,201,0.0,1,2,2,1
13729,encyclopaedia,IBM AIX,Q269856,Microsoft,IBM,0.3037,0.3185,0.0148,P178,208,0.002098,2,1,3,1
13733,encyclopaedia,Hurrem sultan,Q6077715,Christianity,Islam,0.9667,0.0,-0.9667,P140,0,0.0,1,3,1,1
13833,encyclopaedia,Wood Gundy,Q8032214,Vancouver,Toronto,0.7111,0.0444,-0.6667,P159,15,0.001702,1,3,1,1
14008,encyclopaedia,Khadijah bint Khuwaylid,Q42034,Christianity,Islam,0.4533,0.04,-0.4133,P140,963,0.000154,1,2,2,1
14320,encyclopaedia,Cumhuriyet,Q97012871,French,Turkish,0.75,0.2167,-0.5333,P407,0,0.0,2,3,1,1
14404,encyclopaedia,Sally Seltmann,Q7405288,Scotland,Australia,0.6,0.0,-0.6,P27,23,0.0,1,3,1,1
14442,encyclopaedia,Carpathian Mountains,Q1288,Argentina,Austria,0.9,0.0,-0.9,P17,1320,0.001343,1,3,1,1
14492,encyclopaedia,University of South Florida,Q500606,Geneva,Tampa,0.6167,0.2167,-0.4,P159,500,0.0,2,3,2,1
14535,encyclopaedia,Lin Yang-kang,Q6550125,Argentina,Taiwan,0.7333,0.0,-0.7333,P27,10,0.0,1,3,1,1
14648,encyclopaedia,Yigal Hurvitz,Q434182,Romanian,Hebrew,0.7667,0.0,-0.7667,P1412,3,0.0,1,3,1,1
14677,encyclopaedia,Karl Michael Ziehrer,Q696576,Philadelphia,Vienna,0.7167,0.0,-0.7167,P20,11,0.000617,1,3,1,1
14735,encyclopaedia,Travis Blackley,Q495199,midfielder,pitcher,0.6333,0.0,-0.6333,P413,7,0.0,1,3,1,1
14745,encyclopaedia,Nathaniel Hawthorne,Q69339,Russian,English,0.3067,0.2267,-0.08,P1412,1283,0.000383,2,1,2,1
14747,encyclopaedia,Julien Carette,Q1712227,Russian,French,0.56,0.08,-0.48,P103,8,0.0,1,2,2,1
14749,encyclopaedia,Canada men's national soccer team,Q208635,NATO,FIFA,0.4784,0.0,-0.4784,P463,844,0.0,1,2,2,1
14815,encyclopaedia,Leo IX,Q58559,bishop,pope,0.2833,0.1333,-0.15,P39,186,0.0,2,1,2,1
